Loc id 1,Loc id 2, length (m)
CT32,CT56,6992
CT32,CT198,12014
CT32,CT62,17407
CT31,CT50,2352
CT31,CT51,4163
CT34,CT45,5190
CT34,CT198,15150
CT34,CT193,17857
CT34,CT196,18438
CT34,CT38,19597
CT33,CT196,11293
CT33,CT197,15087
CT33,CT40,15102
CT33,CT41,18428
CT33,CT34,22907
CT36,CT32,3237
CT36,CT49,15011
CT36,CT50,16237
CT35,CT31,5431
CT35,CT34,5591
CT35,CT58,8059
CT35,CT60,9606
CT38,CT199,7012
CT38,CT193,8427
CT37,CT58,10254
CT37,CT52,18341
CT37,CT62,18461
CT39,CT61,9485
CT39,CT49,9842
CT39,CT48,11460
CT39,CT33,12153
CT199,CT44,15846
CT199,CT55,16168
CT199,CT31,16649
CT199,CT48,19324
CT199,CT31,19629
CT198,CT61,6341
CT198,CT51,8615
CT198,CT41,12034
CT198,CT191,17635
CT197,CT192,6123
CT197,CT193,17873
CT197,CT48,25065
CT197,CT37,25469
CT196,CT39,7241
CT196,CT59,7696
CT196,CT53,13910
CT195,CT51,8943
CT195,CT42,9712
CT195,CT53,10631
CT195,CT190,11102
CT194,CT197,9575
CT194,CT192,15639
CT194,CT43,22452
CT194,CT54,23111
CT193,CT61,16684
CT193,CT31,20487
CT193,CT40,22092
CT193,CT49,22480
CT193,CT51,30186
CT192,CT32,7791
CT192,CT197,9058
CT191,CT198,4058
CT191,CT49,6147
CT191,CT55,7086
CT190,CT192,21990
CT190,CT56,32923
CT190,CT49,36484